base_score,[481.84554281]
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.0602]",53.04268892423993
"(0.0602, 0.297]",18.467486195223838
"(0.297, 0.551]",-5.514773875212605
"(0.551, 1.0]",-21.81683073125136
"(1.0, inf]",-44.1554557686072
age,Score
"(-inf, 36.0]",-4.426040932650518
"(36.0, 52.0]",-2.524876192935494
"(52.0, 56.0]",0.18385227036065296
"(56.0, 61.0]",2.473107356514746
"(61.0, 74.0]",8.484969408261552
"(74.0, inf]",14.569482744674815
DebtRatio,Score
"(-inf, 0.0175]",35.08286135894111
"(0.0175, 0.32]",1.8862504701537142
"(0.32, 1.512]",-7.4185012653848625
"(1.512, inf]",3.9705553893089003
MonthlyIncome,Score
"(-inf, 0.099]",18.03184447788992
"(0.099, 5600.0]",-3.3017383652298964
"(5600.0, inf]",3.4135735294550185
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 1.0]",-1.483239162316997
"(1.0, 2.0]",-0.7240076343037287
"(2.0, 3.0]",-0.4413835338574271
"(3.0, 5.0]",-0.10484628895296293
"(5.0, 6.0]",0.1337447478084196
"(6.0, 17.0]",0.23803873933151565
"(17.0, inf]",0.767142965728753
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",5.6356183846530845
"(0.0, 1.0]",-13.860560088877317
"(1.0, 2.0]",-21.967353729118656
"(2.0, inf]",-24.535191096575648
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",3.7622726455775517
"(0.0, 1.0]",-27.810355432702927
"(1.0, 2.0]",-36.38163501431307
"(2.0, inf]",-39.459445955583
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",-11.207129311127588
"(0.0, 1.0]",5.573252008389364
"(1.0, 2.0]",17.870843320612636
"(2.0, 4.0]",10.52598740211064
"(4.0, inf]",-8.916529650620387
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",0.9838909942533816
"(0.0, 1.0]",-11.122306405046315
"(1.0, 2.0]",-13.766160135075847
"(2.0, inf]",-13.732260927208673
NumberOfDependents,Score
"(-inf, 0.0]",14.458241621895306
"(0.0, 1.0]",-13.609331730369982
"(1.0, 2.0]",-12.254852281942586
"(2.0, inf]",-10.924109830534231
